kabupaten_kota,provinsi,latitude,longitude,sewa_aktual,sewa_prediksi,residual,coef_rumah_layak_huni,coef_ketahanan_bangunan,coef_luas_lantai_7_2,coef_akses_air_minum,coef_akses_sanitasi,coef_cuci_tangan,coef_status_milik_sendiri,coef_status_kontrak_sewa,coef_listrik_pln,coef_latitude,coef_longitude
Kota Payakumbuh,Sumatera Barat,-0.2260714551002925,100.63098061893533,8221.0,8977.09595581572,-756.0959558157192,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Kota Pariaman,Sumatera Barat,-0.6076520943095929,100.1372124357522,8221.0,8987.12022644527,-766.1202264452695,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Danau,Sumatera Barat,-0.6117948654134421,100.54072518896388,8221.0,9075.56380949244,-854.5638094924398,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Kuantan Singingi,Riau,-0.4788216508983854,101.50347823681554,10548.0,11316.54850114031,-768.5485011403107,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Indragiri Hulu,Riau,-0.5331907022290001,102.32757382107948,10548.0,11511.217424267987,-963.2174242679866,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Indragiri Hilir,Riau,-0.2333074020585781,103.15731455476802,10548.0,11598.763827949319,-1050.7638279493185,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Pelalawan,Riau,0.2194241251108827,102.26762391310828,10548.0,11268.091013198791,-720.0910131987912,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Siak,Riau,0.826470805914191,101.8248951341538,10548.0,10986.787019067608,-438.7870190676076,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Kampar,Riau,0.3271751397974591,101.07087982360066,10548.0,10976.58757002859,-428.58757002859056,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Rokan Hulu,Riau,0.9400854045461754,100.47480623817368,10548.0,10660.361042791908,-112.3610427919084,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Bengkalis,Riau,1.4060964580583748,101.66334536328304,10548.0,10774.61637642236,-226.6163764223602,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Rokan Hilir,Riau,1.773661858430487,100.74504622695883,10548.0,10463.809489501207,84.19051049879272,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
