kabupaten_kota,provinsi,latitude,longitude,sewa_aktual,sewa_prediksi,residual,coef_rumah_layak_huni,coef_ketahanan_bangunan,coef_luas_lantai_7_2,coef_akses_air_minum,coef_akses_sanitasi,coef_cuci_tangan,coef_status_milik_sendiri,coef_status_kontrak_sewa,coef_listrik_pln,coef_latitude,coef_longitude
Kota Langsa,Aceh,4.4836496210620185,97.98270912032424,4586.0,1149.4396409722285,3436.5603590277715,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Kota Lhokseumawe,Aceh,5.16438222124501,97.11032437882828,4586.0,752.7753734991675,3833.2246265008325,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Kota Subulussalam,Aceh,2.7356148986637305,97.93724083673816,4586.0,1674.223490490167,2911.776509509833,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Nias,Sumatera Utara,1.0659380543481671,97.7283721103582,9789.0,11179.76069936097,-1390.7606993609697,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Mandailing Natal,Sumatera Utara,0.7743692720110582,99.3694323950025,9789.0,11623.473646714909,-1834.4736467149087,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Tapanuli Selatan,Sumatera Utara,1.4927516224374695,99.25806495213416,9789.0,11379.708203011192,-1590.7082030111924,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Tapanuli Tengah,Sumatera Utara,1.833899571929504,98.65973910759396,9789.0,11146.109019824398,-1357.1090198243983,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Tapanuli Utara,Sumatera Utara,1.989765292401192,99.069738070246,9789.0,11187.018005837272,-1398.0180058372716,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Toba Samosir,Sumatera Utara,2.379734143642217,99.26420792560832,9789.0,11109.766676679148,-1320.766676679148,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Labuhan Batu,Sumatera Utara,2.2793779375785164,100.05650117699756,9789.0,11311.629288050095,-1522.629288050095,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
