id,OBJECTID,Shape_Leng,Shape_Area,A1C_BPS,A1N_BPS,A2C_BPS,A2N_BPS,A1C_SIAK,A1N_SIAK,A2C_SIAK,A2N_SIAK,YEAR,Type,Hectares,A2TEXT,SquareKM,latitude,longitude
,42,0.28922448932,0.00138177638341,12,Sumatera Utara,1219,Batu Bara,12,Sumatera Utara,1219,Batu Bara,2017,Kabupaten,91567.34876,1219,921.82501,3.2342379379732837,99.47562412048093
,43,0.167694846967,0.00167908038843,12,Sumatera Utara,1220,Padang Lawas Utara,12,Sumatera Utara,1220,Padang Lawas Utara,2017,Kabupaten,396033.90892,1220,3987.00889,1.5932560770033484,99.75745203915962
,44,0.161062607059,0.000292868732174,12,Sumatera Utara,1221,Padang Lawas,12,Sumatera Utara,1221,Padang Lawas,2017,Kabupaten,383268.75472,1221,3858.5075,1.1404033531003548,99.84412105997293
,45,0.344853894868,0.00599809121875,12,Sumatera Utara,1222,Labuhan Batu Selatan,12,Sumatera Utara,1222,Labuhanbatu Selatan,2017,Kabupaten,308467.70501,1222,3105.44462,1.8388736716878562,100.13053630729472
,46,0.46764940275,0.00982109163787,12,Sumatera Utara,1223,Labuhan Batu Utara,12,Sumatera Utara,1223,Labuhanbatu Utara,2017,Kabupaten,358292.40353,1223,3607.02823,2.4091045540976297,99.754625283727
,47,0.292517662971,0.00259344349708,12,Sumatera Utara,1224,Nias Utara,12,Sumatera Utara,1224,Nias Utara,2017,Kabupaten,120320.73785,1224,1211.31211,1.3127819954952034,97.35547737413172
,48,0.137531258919,0.00040954876128,12,Sumatera Utara,1225,Nias Barat,12,Sumatera Utara,1225,Nias Barat,2017,Kabupaten,45676.28774,1225,459.84024,1.025366735231171,97.48965275268225
,49,0.0325473751298,4.9243442775e-05,12,Sumatera Utara,1271,Kota Sibolga,12,Sumatera Utara,1273,Sibolga,2017,Kota,1087.12397,1271,10.94444,1.7383641877390714,98.78590566364493
,50,0.121253109681,0.000591730843055,12,Sumatera Utara,1272,Kota Tanjung Balai,12,Sumatera Utara,1274,Tanjung Balai,2017,Kota,6093.3937,1272,61.3435,2.9644154197552934,99.79498810042985
,51,0.0267035283282,2.97832536199e-05,12,Sumatera Utara,1273,Kota Pematang Siantar,12,Sumatera Utara,1272,Pematang Siantar,2017,Kota,7665.84646,1273,77.17372,2.9625984279323236,99.05897455208054
,52,0.0400987548344,0.000100671346255,12,Sumatera Utara,1274,Kota Tebing Tinggi,12,Sumatera Utara,1276,Tebing Tinggi,2017,Kota,4006.50687,1274,40.33418,3.3283604417706654,99.15570794468297
,53,0.0683342917294,0.000151082594365,12,Sumatera Utara,1275,Kota Medan,12,Sumatera Utara,1271,Medan,2017,Kota,28445.89169,1275,286.36835,3.627728310371873,98.66799797922798
,54,0.212092041957,0.00096490499982,12,Sumatera Utara,1276,Kota Binjai,12,Sumatera Utara,1275,Binjai,2017,Kota,9457.55205,1276,95.2104,3.5994919125615494,98.48871144455136
,55,0.0747793156483,0.000190110233435,12,Sumatera Utara,1277,Kota Padangsidimpuan,12,Sumatera Utara,1277,Padangsidimpuan,2017,Kota,13462.60055,1277,135.53278,1.396311747184501,99.28079508956353
,56,0.0672976560396,0.00026613374063,12,Sumatera Utara,1278,Kota Gunungsitoli,12,Sumatera Utara,1278,Gunungsitoli,2017,Kota,31197.6864,1278,314.0784,1.2650962093762914,97.5830887565814
,57,4.430970752,0.0896253665491,12,Sumatera Utara,1288,Danau Toba,12,Sumatera Utara,1288,Danau Toba,2017,,110436.66972,1288,1111.79413,2.6047547134003946,98.81145349417719
,58,1.51597384544,0.0106990175286,13,Sumatera Barat,1301,Kepulauan Mentawai,13,Sumatera Barat,1309,Kepulauan Mentawai,2017,Kabupaten,600778.6952,1301,6048.22818,-1.851426861633218,99.33852345739726
,59,0.533757592905,0.00554302592067,13,Sumatera Barat,1302,Pesisir Selatan,13,Sumatera Barat,1301,Pesisir Selatan,2017,Kabupaten,610628.47221,1302,6147.39823,-1.738282748828916,100.88070250083824
,60,0.455255689782,0.0103090411576,13,Sumatera Barat,1303,Solok,13,Sumatera Barat,1302,Solok,2017,Kabupaten,324698.12522,1303,3268.8579,-0.9624256395106212,100.81872149615062
,61,0.317675609494,0.00399596831174,13,Sumatera Barat,1304,Sijunjung,13,Sumatera Barat,1303,Sijunjung,2017,Kabupaten,306820.28746,1304,3088.87792,-0.6840858094949186,101.08951101573187
,62,0.222783845288,0.00237027552158,13,Sumatera Barat,1305,Tanah Datar,13,Sumatera Barat,1304,Tanah Datar,2017,Kabupaten,131530.55848,1305,1324.16949,-0.4605383095545835,100.58604729873066
,63,0.306595171142,0.00331571747032,13,Sumatera Barat,1306,Padang Pariaman,13,Sumatera Barat,1305,Padang Pariaman,2017,Kabupaten,135444.05251,1306,1363.56785,-0.5623419077902755,100.22770237006067
,64,0.257410327282,0.00176192736207,13,Sumatera Barat,1307,Agam,13,Sumatera Barat,1306,Agam,2017,Kabupaten,223795.71254,1307,2253.03951,-0.24942974659653966,100.16851369839492
,65,0.0948392543414,0.00038772596306,13,Sumatera Barat,1308,Lima Puluh Kota,13,Sumatera Barat,1307,Lima Puluh Kota,2017,Kabupaten,332415.831,1308,3346.56122,0.0297824276785084,100.56592288409354
,66,0.106339768669,0.00040741366623,13,Sumatera Barat,1309,Pasaman,13,Sumatera Barat,1308,Pasaman,2017,Kabupaten,393572.81972,1309,3962.25129,0.38729210332246944,100.08276000441212
