Kabupaten-Kota,Jan,Feb,Mar,Apr,Mei,Jun,Jul,Ags,Sep,Okt,Nov,Des,Rata-Rata
Kota Bima,488669.0,488669.0,488669.0,488669.0,488669.0,495266.0,495266.0,495266.0,495266.0,495266.0,506261.0,506261.0,494350.0
Waingapu,597637.0,597637.0,597637.0,597637.0,597637.0,597637.0,597637.0,597637.0,597637.0,597637.0,597637.0,597637.0,597637.0
Kab. Timor Tengah Selatan,369473.0,369473.0,369473.0,369473.0,369473.0,369473.0,369473.0,369473.0,369473.0,369473.0,369473.0,369473.0,369473.0
Maumere,635860.0,635860.0,635860.0,635860.0,635860.0,635860.0,635860.0,635860.0,635860.0,635860.0,635860.0,635860.0,635860.0
Kab. Ngada,521186.0,521186.0,521186.0,521186.0,521186.0,521186.0,521186.0,521186.0,521186.0,521186.0,521186.0,521186.0,521186.0
Kota Kupang,519252.0,519252.0,519252.0,519252.0,519252.0,519252.0,519252.0,519252.0,519252.0,519252.0,521537.0,521537.0,519633.0
Kab. Ketapang,471143.0,471143.0,471143.0,471143.0,471143.0,471143.0,471143.0,471143.0,471143.0,471143.0,471143.0,471143.0,471143.0
Sintang,642581.0,642581.0,642581.0,642581.0,642581.0,642581.0,642581.0,642581.0,642581.0,642581.0,642581.0,642581.0,642581.0
Kab. Kayong Utara,564579.0,564579.0,564579.0,564579.0,564579.0,564579.0,564579.0,564579.0,564579.0,564579.0,564579.0,564579.0,564579.0
Kota Pontianak,531112.0,531112.0,531112.0,531112.0,534458.0,534458.0,534458.0,534458.0,534458.0,534458.0,534458.0,534458.0,533343.0
Kota Singkawang,471626.0,471626.0,471626.0,471626.0,471626.0,471626.0,471626.0,471626.0,471626.0,471626.0,471626.0,471626.0,471626.0
Sampit,646635.0,646635.0,646635.0,646635.0,646635.0,646635.0,646635.0,646635.0,646635.0,646635.0,646635.0,646635.0,646635.0
Kab. Kapuas,358035.0,358035.0,358035.0,358035.0,358035.0,358035.0,358035.0,358035.0,358035.0,358035.0,358035.0,358035.0,358035.0
Kab. Sukamara,414934.0,414934.0,414934.0,414934.0,414934.0,414934.0,414934.0,414934.0,418544.0,418544.0,418544.0,418544.0,416137.0
Kota Palangkaraya,601895.0,601895.0,603760.0,603760.0,604787.0,604787.0,604787.0,604787.0,606420.0,606420.0,610786.0,610786.0,605406.0
Kab. Tanah Laut,515532.0,515532.0,515532.0,515532.0,515532.0,515532.0,515532.0,515532.0,515532.0,515532.0,515532.0,515532.0,515532.0
Kotabaru,488632.0,488632.0,488632.0,488632.0,488632.0,488632.0,488632.0,488632.0,488632.0,490146.0,490146.0,490146.0,489010.0
Kab. Hulu Sungai Tengah,451969.0,451969.0,451969.0,451969.0,451969.0,451969.0,451969.0,451969.0,460059.0,460059.0,460059.0,460059.0,454666.0
Tanjung,663549.0,663549.0,663549.0,663549.0,663549.0,666801.0,667868.0,681559.0,681559.0,681559.0,681559.0,681559.0,671684.0
Kota Banjarmasin,403451.0,405387.0,405387.0,405387.0,405387.0,405387.0,405387.0,405387.0,405387.0,407658.0,407658.0,408717.0,405882.0
