kabupaten_kota,provinsi,latitude,longitude,sewa_2024,rumah_layak_huni,ketahanan_bangunan,luas_lantai_7_2,akses_air_minum,akses_sanitasi,cuci_tangan,status_milik_sendiri,status_kontrak_sewa,listrik_pln,latitude,longitude
Kota Tanjung Balai,Sumatera Utara,2.964415419755293,99.79498810042983,9789.0,73.47,93.81,92.99,92.94,85.73,74.45,72.93,9.5,99.23,2.964415419755293,99.79498810042983
Kota Pematang Siantar,Sumatera Utara,2.962598427932324,99.05897455208054,9789.0,73.47,93.81,92.99,92.94,85.73,74.45,72.93,9.5,99.23,2.962598427932324,99.05897455208054
Kota Tebing Tinggi,Sumatera Utara,3.3283604417706654,99.15570794468296,9789.0,73.47,93.81,92.99,92.94,85.73,74.45,72.93,9.5,99.23,3.3283604417706654,99.15570794468296
Kota Medan,Sumatera Utara,3.627728310371873,98.66799797922798,9789.0,73.47,93.81,92.99,92.94,85.73,74.45,72.93,9.5,99.23,3.627728310371873,98.66799797922798
Kota Binjai,Sumatera Utara,3.599491912561549,98.48871144455136,9789.0,73.47,93.81,92.99,92.94,85.73,74.45,72.93,9.5,99.23,3.599491912561549,98.48871144455136
Kota Padangsidimpuan,Sumatera Utara,1.396311747184501,99.28079508956353,9789.0,73.47,93.81,92.99,92.94,85.73,74.45,72.93,9.5,99.23,1.396311747184501,99.28079508956353
Kota Gunungsitoli,Sumatera Utara,1.2650962093762914,97.5830887565814,9789.0,73.47,93.81,92.99,92.94,85.73,74.45,72.93,9.5,99.23,1.2650962093762914,97.5830887565814
Danau Toba,Sumatera Utara,2.6047547134003946,98.8114534941772,9789.0,73.47,93.81,92.99,92.94,85.73,74.45,72.93,9.5,99.23,2.6047547134003946,98.8114534941772
Kepulauan Mentawai,Sumatera Barat,-1.851426861633218,99.33852345739726,8221.0,62.29,97.68,95.46,86.85,72.82,86.83,72.63,7.14,98.95,-1.851426861633218,99.33852345739726
Pesisir Selatan,Sumatera Barat,-1.738282748828916,100.88070250083824,8221.0,62.29,97.68,95.46,86.85,72.82,86.83,72.63,7.14,98.95,-1.738282748828916,100.88070250083824
Solok,Sumatera Barat,-0.9624256395106212,100.81872149615062,8221.0,62.29,97.68,95.46,86.85,72.82,86.83,72.63,7.14,98.95,-0.9624256395106212,100.81872149615062
Sijunjung,Sumatera Barat,-0.6840858094949186,101.08951101573189,8221.0,62.29,97.68,95.46,86.85,72.82,86.83,72.63,7.14,98.95,-0.6840858094949186,101.08951101573189
Tanah Datar,Sumatera Barat,-0.4605383095545835,100.58604729873066,8221.0,62.29,97.68,95.46,86.85,72.82,86.83,72.63,7.14,98.95,-0.4605383095545835,100.58604729873066
