provinsi,kabupaten_kota,latitude,longitude,prediksi_sewa,rumah_layak_huni,ketahanan_bangunan,luas_lantai_7_2,akses_air_minum,akses_sanitasi,cuci_tangan,status_milik_sendiri,status_kontrak_sewa,listrik_pln
Sumatera Barat,Kota Payakumbuh,-0.2260714551002925,100.63098061893533,-13318.4173018705,62.29,97.68,95.46,86.85,72.82,86.83,72.63,7.14,98.95
Sumatera Barat,Kota Pariaman,-0.6076520943095929,100.1372124357522,-13297.931894759644,62.29,97.68,95.46,86.85,72.82,86.83,72.63,7.14,98.95
Sumatera Barat,Danau,-0.6117948654134421,100.54072518896388,-13289.65808286113,62.29,97.68,95.46,86.85,72.82,86.83,72.63,7.14,98.95
Riau,Kuantan Singingi,-0.4788216508983854,101.50347823681554,-11207.571822068432,74.8,96.31,94.63,92.24,86.32,75.19,78.46,7.98,96.6
Riau,Indragiri Hulu,-0.5331907022290001,102.32757382107948,-11187.039774529949,74.8,96.31,94.63,92.24,86.32,75.19,78.46,7.98,96.6
Riau,Indragiri Hilir,-0.2333074020585781,103.15731455476802,-11194.441600159143,74.8,96.31,94.63,92.24,86.32,75.19,78.46,7.98,96.6
Riau,Pelalawan,0.2194241251108827,102.26762391310828,-11247.802418543693,74.8,96.31,94.63,92.24,86.32,75.19,78.46,7.98,96.6
Riau,Siak,0.826470805914191,101.8248951341538,-11304.578450859099,74.8,96.31,94.63,92.24,86.32,75.19,78.46,7.98,96.6
Riau,Kampar,0.3271751397974591,101.07087982360066,-11279.898620004064,74.8,96.31,94.63,92.24,86.32,75.19,78.46,7.98,96.6
Riau,Rokan Hulu,0.9400854045461754,100.47480623817368,-11340.158469706268,74.8,96.31,94.63,92.24,86.32,75.19,78.46,7.98,96.6
Riau,Bengkalis,1.4060964580583748,101.66334536328304,-11353.646761727185,74.8,96.31,94.63,92.24,86.32,75.19,78.46,7.98,96.6
Riau,Rokan Hilir,1.773661858430487,100.74504622695883,-11400.82859701632,74.8,96.31,94.63,92.24,86.32,75.19,78.46,7.98,96.6
Riau,Kepulauan Meranti,1.0028048016130533,102.65034645204184,-11302.28373551102,74.8,96.31,94.63,92.24,86.32,75.19,78.46,7.98,96.6
Riau,Kota Pekanbaru,0.5498894668021579,101.46443621730756,-11289.78042276959,74.8,96.31,94.63,92.24,86.32,75.19,78.46,7.98,96.6
Riau,Kota Dumai,1.7976652614653554,101.31165373683956,-11391.571419613501,74.8,96.31,94.63,92.24,86.32,75.19,78.46,7.98,96.6
Jambi,Kerinci,-2.036907055458544,101.46942445083168,-21929.033998807055,66.21,95.58,96.34,82.16,83.97,73.96,89.27,2.84,98.9
Jambi,Merangin,-2.196201011862801,102.06441916216404,-21904.70675901436,66.21,95.58,96.34,82.16,83.97,73.96,89.27,2.84,98.9
Jambi,Sarolangun,-2.3091125320544656,102.66456674464236,-21883.950000992474,66.21,95.58,96.34,82.16,83.97,73.96,89.27,2.84,98.9
Jambi,Batang Hari,-1.7497334364769526,103.09606325740948,-21919.737381707495,66.21,95.58,96.34,82.16,83.97,73.96,89.27,2.84,98.9
Jambi,Muaro Jambi,-1.6091814947854877,103.74517882177295,-21918.082260863674,66.21,95.58,96.34,82.16,83.97,73.96,89.27,2.84,98.9
Jambi,Tanjung Jabung Timur,-1.219820823289337,103.9673530852528,-21944.531727563528,66.21,95.58,96.34,82.16,83.97,73.96,89.27,2.84,98.9
Jambi,Tanjung Jabung Barat,-1.071069936790348,103.11331056286176,-21973.12539114353,66.21,95.58,96.34,82.16,83.97,73.96,89.27,2.84,98.9
Jambi,Tebo,-1.3102003391424772,102.361275390216,-21969.003027210372,66.21,95.58,96.34,82.16,83.97,73.96,89.27,2.84,98.9
Jambi,Bungo,-1.5988860025702396,101.93100144530491,-21954.621512954716,66.21,95.58,96.34,82.16,83.97,73.96,89.27,2.84,98.9
Jambi,Kota Jambi,-1.6170023547450236,103.60022420576566,-21920.317507308413,66.21,95.58,96.34,82.16,83.97,73.96,89.27,2.84,98.9
Jambi,Kota Sungai Penuh,-2.11335094177672,101.34111250427009,-21925.508855772874,66.21,95.58,96.34,82.16,83.97,73.96,89.27,2.84,98.9
Sumatera Selatan,Ogan Komering Ulu,-4.100670219203191,104.09382962801968,-20569.844424390878,63.21,90.45,91.31,87.23,82.36,77.02,85.9,3.2,97.02
Sumatera Selatan,Ogan Komering Ilir,-3.343172988543884,105.39068105366404,-20604.275902403497,63.21,90.45,91.31,87.23,82.36,77.02,85.9,3.2,97.02
Sumatera Selatan,Muara Enim,-3.635834759553093,104.0015652181584,-20608.46081484308,63.21,90.45,91.31,87.23,82.36,77.02,85.9,3.2,97.02
Sumatera Selatan,Lahat,-3.8305582473786814,103.38532484050413,-20605.17997863479,63.21,90.45,91.31,87.23,82.36,77.02,85.9,3.2,97.02
Sumatera Selatan,Musi Rawas,-3.1667314171494367,103.14522095195292,-20662.4610919622,63.21,90.45,91.31,87.23,82.36,77.02,85.9,3.2,97.02
Sumatera Selatan,Musi Banyuasin,-2.4440840875705456,103.82967196424592,-20706.192803468388,63.21,90.45,91.31,87.23,82.36,77.02,85.9,3.2,97.02
Sumatera Selatan,Banyu Asin,-2.4878697688973253,104.66809303404575,-20686.216514981552,63.21,90.45,91.31,87.23,82.36,77.02,85.9,3.2,97.02
Sumatera Selatan,Ogan Komering Ulu Selatan,-4.590247323360914,103.91524090247172,-20534.602868193168,63.21,90.45,91.31,87.23,82.36,77.02,85.9,3.2,97.02
Sumatera Selatan,Ogan Komering Ulu Timur,-4.068872522995667,104.56792257283747,-20563.026063182366,63.21,90.45,91.31,87.23,82.36,77.02,85.9,3.2,97.02
Sumatera Selatan,Ogan Ilir,-3.409977800939368,104.60090288488531,-20614.539231917854,63.21,90.45,91.31,87.23,82.36,77.02,85.9,3.2,97.02
Sumatera Selatan,Empat Lawang,-3.751943624991812,102.9535968887634,-20619.905095416783,63.21,90.45,91.31,87.23,82.36,77.02,85.9,3.2,97.02
Sumatera Selatan,Penukal Abab Lematang Ilir,-3.209884359104186,103.9882793339702,-20642.443579002203,63.21,90.45,91.31,87.23,82.36,77.02,85.9,3.2,97.02
Sumatera Selatan,Musi Rawas Utara,-2.7443987140701607,102.7358396453718,-20703.957236668044,63.21,90.45,91.31,87.23,82.36,77.02,85.9,3.2,97.02
Sumatera Selatan,Kota Palembang,-2.9733535838672696,104.73281674653592,-20646.50778214994,63.21,90.45,91.31,87.23,82.36,77.02,85.9,3.2,97.02
Sumatera Selatan,Kota Prabumulih,-3.4528347437959006,104.22938772442416,-20618.46213927591,63.21,90.45,91.31,87.23,82.36,77.02,85.9,3.2,97.02
Sumatera Selatan,Kota Pagar Alam,-4.109111577157726,103.26267366395189,-20585.54300165039,63.21,90.45,91.31,87.23,82.36,77.02,85.9,3.2,97.02
Sumatera Selatan,Kota Lubuklinggau,-3.2635241614077395,102.87935836626258,-20660.033596785408,63.21,90.45,91.31,87.23,82.36,77.02,85.9,3.2,97.02
Sumatera Selatan,Danau,-4.860159501902476,103.9353745045638,-20512.83831235535,63.21,90.45,91.31,87.23,82.36,77.02,85.9,3.2,97.02
Bengkulu,Bengkulu Selatan,-4.348663189211438,103.02372955029396,-17685.398934115117,56.52,95.61,95.66,72.1,83.01,81.71,89.76,3.49,99.75
Bengkulu,Rejang Lebong,-3.430790127447459,102.69889390291108,-17764.46059243818,56.52,95.61,95.66,72.1,83.01,81.71,89.76,3.49,99.75
Bengkulu,Bengkulu Utara,-3.426921227729385,102.0157827526161,-17778.218483468627,56.52,95.61,95.66,72.1,83.01,81.71,89.76,3.49,99.75
Bengkulu,Seluma,-4.052313057716453,102.65781985555776,-17716.065409184142,56.52,95.61,95.66,72.1,83.01,81.71,89.76,3.49,99.75
Bengkulu,Mukomuko,-2.701394437209309,101.48559604460618,-17846.096403545696,56.52,95.61,95.66,72.1,83.01,81.71,89.76,3.49,99.75
Bengkulu,Lebong,-3.0899267093457428,102.24947681391514,-17800.295443727948,56.52,95.61,95.66,72.1,83.01,81.71,89.76,3.49,99.75
Bengkulu,Kepahiang,-3.628231823189902,102.64168875470617,-17749.95622448362,56.52,95.61,95.66,72.1,83.01,81.71,89.76,3.49,99.75
Bengkulu,Bengkulu Tengah,-3.687547673332724,102.41166971406504,-17749.78983677771,56.52,95.61,95.66,72.1,83.01,81.71,89.76,3.49,99.75
Bengkulu,Kota Bengkulu,-3.827698622712308,102.31269055949606,-17740.643595730045,56.52,95.61,95.66,72.1,83.01,81.71,89.76,3.49,99.75
Lampung,Lampung Barat,-5.031742815336386,104.1902893422486,-24311.362499140745,65.96,89.45,98.51,84.51,85.44,80.97,93.05,1.98,99.21
Lampung,Tanggamus,-5.435863533876858,104.67521016413504,-24269.820639958194,65.96,89.45,98.51,84.51,85.44,80.97,93.05,1.98,99.21
Lampung,Lampung Selatan,-5.532772784321386,105.50050153572772,-24245.8972726623,65.96,89.45,98.51,84.51,85.44,80.97,93.05,1.98,99.21
Lampung,Lampung Timur,-5.136651544367107,105.64903679922708,-24274.33202736195,65.96,89.45,98.51,84.51,85.44,80.97,93.05,1.98,99.21
Lampung,Lampung Tengah,-4.861295996142597,105.26464895154368,-24303.700293606253,65.96,89.45,98.51,84.51,85.44,80.97,93.05,1.98,99.21
Lampung,Lampung Utara,-4.809238400777272,104.80589388959837,-24316.85518381058,65.96,89.45,98.51,84.51,85.44,80.97,93.05,1.98,99.21
